,Exoplanet,Host star,a,Ds,Dp,Ds/Dp,d/Ds
112,Kepler-1156 b,Kepler-1156,,1.32,1.0,82.67054363,0
113,Kepler-1157 b,Kepler-1157,,0.931,0.72,84.39321661,0
114,Kepler-1158 b,Kepler-1158,0.1174,1.55,1.34,94.34042424,9.415640118
115,Kepler-1163 b,Kepler-1163,0.069,0.97,1.12,126.0001358,6.620909021
116,Kepler-1164 b,Kepler-1164,0.045,1.05,0.79,82.1036599,6.12169904
117,Kepler-1165 b,Kepler-1165,,1.55,1.18,83.07589597,0
118,Kepler-1169 b,Kepler-1169,0.067,1.04,1.21,126.9628772,5.950808635
119,Kepler-1171 b,Kepler-1171,,2.395,1.83,83.38161386,0
120,Kepler-1173 b,Kepler-1173,,0.89,0.82,100.5422432,0
121,Kepler-1174 b,Kepler-1174,,2.614,1.8,75.14353928,0
122,Kepler-1178 b,Kepler-1178,0.1596,0.63,0.53,91.80367035,32.36261223
123,Kepler-1181 b,Kepler-1181,0.061,1.41,1.25,96.74212552,5.244527586
124,Kepler-1189 b,Kepler-1189,0.047,1.23,1.1,97.59156858,4.591892633
125,Kepler-119 c,Kepler-119,0.049,0.88,0.83,102.9248268,6.344604279
126,Kepler-1193 b,Kepler-1193,0.0397,1.13,1.05,101.3994455,4.063383005
127,Kepler-1199 b,Kepler-1199,,1.15,1.17,111.0229457,0
128,Kepler-1207 b,Kepler-1207,0.1156,1.43,1.03,78.60060917,12.0616622
129,Kepler-1209 b,Kepler-1209,0.1801,1.48,1.38,101.7517988,14.02559127
130,Kepler-1213 b,Kepler-1213,0.0599,0.92,0.98,116.2419731,6.568819053
131,Kepler-1215 b,Kepler-1215,,1.121,0.89,86.63813975,0
132,Kepler-1216 b,Kepler-1216,0.0519,1.56,1.18,82.54335818,4.726850891
133,Kepler-1218 b,Kepler-1218,0.164,1.47,1.22,90.56642412,14.44676371
134,Kepler-1219 b,Kepler-1219,,2.12,1.94,99.85977742,0
135,Kepler-1220 b,Kepler-1220,0.073,1.38,0.99,78.28541045,7.924542842
136,Kepler-1222 b,Kepler-1222,,0.79,0.8,110.5064482,0
137,Kepler-1224 b,Kepler-1224,0.114,1.14,1.08,103.3816904,11.34403736
138,Kepler-1226 b,Kepler-1226,0.1323,1.36,0.96,77.02949477,14.81068561
139,Kepler-123 c,Kepler-123,0.1757,1.4,1.22,95.09474533,15.47741697
140,Kepler-1231 b,Kepler-1231,0.0936,1.29,0.92,77.82566526,10.93388681
141,Kepler-1235 b,Kepler-1235,0.049,0.68,0.81,129.9872724,6.501261175
142,Kepler-1238 b,Kepler-1238,0.052,1.33,1.06,86.97189823,5.27210475
143,Kepler-124 b,Kepler-124,0.039,0.73,0.64,95.67133597,6.548942619
144,Kepler-1240 b,Kepler-1240,0.0557,1.32,1.11,91.76430343,5.392855312
145,Kepler-1248 b,Kepler-1248,0.0806,1.04,1.17,122.7657573,7.403477011
146,Kepler-125 c,Kepler-125,0.051,0.74,0.51,75.20785131,10.74698276
147,Kepler-1253 b,Kepler-1253,,1.788,1.49,90.93759799,0
148,Kepler-1256 b,Kepler-1256,0.111,1.37,1.3,103.5493817,9.176269894
149,Kepler-1258 b,Kepler-1258,,0.86,0.99,125.6207749,0
150,Kepler-126 b,Kepler-126,,1.439,1.45,109.9592915,0
151,Kepler-126 c,Kepler-126,,1.498,1.45,105.6284516,0
152,Kepler-1263 b,Kepler-1263,,1.075,0.8,81.20938984,0
153,Kepler-1264 b,Kepler-1264,0.0174,0.99,0.87,95.89783061,2.149396552
154,Kepler-1269 b,Kepler-1269,0.2227,1.54,1.11,78.65511723,21.56173928
155,Kepler-127 b,Kepler-127,0.125,1.4,1.36,106.0072571,9.877741506
156,Kepler-1270 b,Kepler-1270,0.0663,3.34,3.59,117.2931653,1.984749184
157,Kepler-1271 b,Kepler-1271,0.042,1.15,1.02,96.78923473,4.425228195
158,Kepler-1275 b,Kepler-1275,0.0488,1.32,1.27,104.9915904,4.12954928
159,Kepler-1276 b,Kepler-1276,0.1072,1.09,1.17,117.1343005,9.846808134
160,Kepler-1278 b,Kepler-1278,,1.01,1.16,125.3318182,0
161,Kepler-1279 b,Kepler-1279,,2.363,1.98,91.43788948,0
162,Kepler-128 b,Kepler-128,0.1263,1.43,1.66,126.6767099,8.176770617
163,Kepler-128 c,Kepler-128,0.1664,1.42,1.66,127.5687994,10.7728791
164,Kepler-1280 b,Kepler-1280,,1.87,1.32,77.02949477,0
165,Kepler-1283 b,Kepler-1283,0.1062,1.13,0.87,84.01668346,13.11873068
166,Kepler-1288 b,Kepler-1288,0.0435,1.88,2.23,129.440964,2.096384529
167,Kepler-1289 b,Kepler-1289,,1.54,1.21,85.74116382,0
168,Kepler-129 b,Kepler-129,,2.409,1.75,79.27312403,0
169,Kepler-129 c,Kepler-129,,2.21,1.56,77.02949477,0
170,Kepler-1296 b,Kepler-1296,0.0758,1.04,0.98,102.8294377,8.312462175
171,Kepler-1297 b,Kepler-1297,,1.349,1.46,118.1042785,0
172,Kepler-130 b,Kepler-130,,1.03,1.18,125.017125,0
173,Kepler-130 d,Kepler-130,0.381,1.09,1.11,111.1274133,36.88829217
174,Kepler-1300 b,Kepler-1300,,1.751,1.86,115.9181717,0
175,Kepler-1303 b,Kepler-1303,0.075,1.16,0.88,82.78457197,9.159360306
176,Kepler-1311 b,Kepler-1311,0.0979,1.06,1.24,127.6557979,8.484916226
177,Kepler-1311 c,Kepler-1311,0.0364,1.05,1.24,128.8715674,3.154759455
178,Kepler-1312 c,Kepler-1312,0.02,0.84,0.78,101.3304663,2.755636605
179,Kepler-132 b,Kepler-132,,1.07,1.1,112.1847003,0
180,Kepler-132 c,Kepler-132,0.068,1.28,1.18,100.5997178,6.193176505
181,Kepler-132 d,Kepler-132,,1.43,1.1,83.94239815,0
182,Kepler-132 e,Kepler-132,,1.18,1.1,101.7268045,0
183,Kepler-1323 b,Kepler-1323,,1.289,1.23,104.1302519,0
184,Kepler-1328 b,Kepler-1328,,0.98,0.99,110.2386392,0
185,Kepler-133 b,Kepler-133,,1.59,1.32,90.59443725,0
186,Kepler-1336 c,Kepler-1336,0.0621,1.03,0.86,91.11417585,7.760321271
187,Kepler-1338 b,Kepler-1338,0.0188,0.92,1.09,129.2895415,1.853608035
188,Kepler-134 c,Kepler-134,0.0988,1.63,1.53,102.4303251,6.939881677
189,Kepler-1340 b,Kepler-1340,0.015,0.94,0.91,105.6424011,1.771480674
190,Kepler-1346 b,Kepler-1346,,1.58,1.21,83.57050145,0
191,Kepler-1347 b,Kepler-1347,0.104,0.98,0.77,85.74116382,14.51540528
192,Kepler-135 b,Kepler-135,,1.91,1.35,77.13031872,0
193,Kepler-135 c,Kepler-135,,1.18,1.35,124.8465328,0
194,Kepler-1351 b,Kepler-1351,,0.65,0.67,112.4828135,0
195,Kepler-1357 b,Kepler-1357,0.041,1.22,0.89,79.60766775,4.950857226
196,Kepler-1358 b,Kepler-1358,0.0656,1.16,0.82,77.14016933,8.597586207
197,Kepler-1361 b,Kepler-1361,0.0431,0.89,0.92,112.8034923,5.034727792
198,Kepler-1364 b,Kepler-1364,0.122,1.7,1.44,92.43539372,9.105082615
199,Kepler-1365 b,Kepler-1365,0.0768,0.79,0.92,127.0824154,8.971394303
200,Kepler-1367 b,Kepler-1367,,0.899,0.63,76.47255182,0
201,Kepler-1368 b,Kepler-1368,0.0153,1.36,0.96,77.02949477,1.712800377
202,Kepler-1370 b,Kepler-1370,0.1563,1.77,1.28,78.91533928,13.12307348
203,Kepler-1370 c,Kepler-1370,0.077,1.11,1.21,118.9562093,6.838989028
204,Kepler-1371 b,Kepler-1371,,0.73,0.83,124.0737638,0
205,Kepler-1371 c,Kepler-1371,,0.866,0.96,120.9701073,0
206,Kepler-1372 b,Kepler-1372,,1.266,1.06,91.36858187,0
207,Kepler-1373 b,Kepler-1373,0.0239,0.87,1.03,129.1941047,2.493717359
208,Kepler-1375 b,Kepler-1375,,1.74,1.78,111.633741,0
209,Kepler-1376 b,Kepler-1376,,1.05,0.97,100.8108229,0
210,Kepler-1377 b,Kepler-1377,0.0153,1.22,0.87,77.8187314,1.889986623
211,Kepler-138 b,Kepler-138,,0.46,0.45,106.7528324,0
212,Kepler-1380 b,Kepler-1380,,2.732,1.93,77.09058454,0
213,Kepler-1382 b,Kepler-1382,0.1307,1.08,1.01,102.0521933,13.90723412
214,Kepler-1383 b,Kepler-1383,,1.5,1.61,117.1276262,0
215,Kepler-1386 b,Kepler-1386,0.0699,1.09,0.93,93.10675171,8.077570912
216,Kepler-1387 b,Kepler-1387,0.031,0.87,0.8,100.3449357,4.164455819
217,Kepler-1390 b,Kepler-1390,0.0647,0.92,0.79,93.70526402,8.801642842
218,Kepler-1391 b,Kepler-1391,,2.2,1.6,79.36372188,0
219,Kepler-1393 b,Kepler-1393,0.0344,0.7,0.82,127.8322806,4.508490328
220,Kepler-1396 b,Kepler-1396,0.1406,1.78,1.26,77.24586976,11.99226806
221,Kepler-1397 b,Kepler-1397,0.2602,1.61,1.13,76.59092104,24.74659216
222,Kepler-1398 c,Kepler-1398,0.0508,0.84,0.98,127.3126372,5.57088494
