pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-1174 b,Kepler-1174,,2.614,1.8,2.614,1.8,75.14353928,0
Kepler-1178 b,Kepler-1178,0.1596,0.63,0.53,0.63,0.53,91.80367035,32.36261223
Kepler-1181 b,Kepler-1181,0.061,1.41,1.25,1.41,1.25,96.74212552,5.244527586
Kepler-1189 b,Kepler-1189,0.047,1.23,1.1,1.23,1.1,97.59156858,4.591892633
Kepler-119 c,Kepler-119,0.049,0.88,0.83,0.88,0.83,102.9248268,6.344604279
Kepler-1193 b,Kepler-1193,0.0397,1.13,1.05,1.13,1.05,101.3994455,4.063383005
Kepler-1199 b,Kepler-1199,0.1152,1.51,1.52,1.51,1.52,109.8478005,8.14508167
Kepler-1207 b,Kepler-1207,0.1156,1.43,1.03,1.43,1.03,78.60060917,12.0616622
Kepler-1209 b,Kepler-1209,0.1801,1.48,1.38,1.48,1.38,101.7517988,14.02559127
Kepler-1213 b,Kepler-1213,,1.19,1.21,1.19,1.21,110.9591532,0
Kepler-1215 b,Kepler-1215,,1.121,0.89,1.121,0.89,86.63813975,0
Kepler-1216 b,Kepler-1216,0.0519,1.56,1.18,1.56,1.18,82.54335818,4.726850891
Kepler-1218 b,Kepler-1218,0.164,1.47,1.22,1.47,1.22,90.56642412,14.44676371
Kepler-1219 b,Kepler-1219,,2.12,1.94,2.12,1.94,99.85977742,0
Kepler-1220 b,Kepler-1220,0.073,1.38,0.99,1.38,0.99,78.28541045,7.924542842
Kepler-1222 b,Kepler-1222,,0.79,0.8,0.79,0.8,110.5064482,0
Kepler-1224 b,Kepler-1224,0.114,1.14,1.08,1.14,1.08,103.3816904,11.34403736
Kepler-1226 b,Kepler-1226,0.1323,1.36,0.96,1.36,0.96,77.02949477,14.81068561
Kepler-123 c,Kepler-123,0.1757,1.4,1.22,1.4,1.22,95.09474533,15.47741697
Kepler-1231 b,Kepler-1231,0.0936,1.29,0.92,1.29,0.92,77.82566526,10.93388681
Kepler-1235 b,Kepler-1235,0.049,0.79,0.78,0.79,0.78,107.743787,6.751309682
Kepler-1238 b,Kepler-1238,0.052,1.33,1.06,1.33,1.06,86.97189823,5.27210475
Kepler-124 b,Kepler-124,0.039,0.73,0.64,0.73,0.64,95.67133597,6.548942619
Kepler-1240 b,Kepler-1240,0.0557,1.32,1.11,1.32,1.11,91.76430343,5.392855312
Kepler-1248 b,Kepler-1248,,1.18,1.21,1.18,1.21,111.899485,0
Kepler-125 c,Kepler-125,0.051,0.74,0.51,0.74,0.51,75.20785131,10.74698276
Kepler-1253 b,Kepler-1253,,1.788,1.49,1.788,1.49,90.93759799,0
Kepler-1256 b,Kepler-1256,0.111,1.37,1.3,1.37,1.3,103.5493817,9.176269894
Kepler-1258 b,Kepler-1258,0.02,0.95,0.96,0.95,0.96,110.273803,2.238954741
Kepler-126 b,Kepler-126,,1.439,1.45,1.439,1.45,109.9592915,0
